name,undefined,type,mean,std
status,0.0,float,240.3288,86.3953418337
location_speed,0.0,float,2692.09430557,48136.3041819
location_distance,0.0,float,87.2714784824,301.870234611
httpcode_5m_200,0.0,float,0.9447,0.554835029536
httpcode_5m_302,0.0,float,0.0566,0.232801288656
httpcode_5m_404,0.0,float,0.0602,0.239532795249
httpcode_5m_403,0.0,float,0.0607,0.240864090308
httpcode_5m_500,0.0,float,0.0566,0.232371340746
httpcode_30m_200,0.0,float,1.6246,1.11762016804
httpcode_30m_302,0.0,float,0.0968,0.304679766312
httpcode_30m_404,0.0,float,0.1041,0.318532871145
httpcode_30m_403,0.0,float,0.1038,0.320352243632
httpcode_30m_500,0.0,float,0.0989,0.306461726811
httpcode_1d_200,0.0,float,18.0359,58.0351360056
httpcode_1d_302,0.0,float,1.0539,4.69322861046
httpcode_1d_404,0.0,float,1.1827,5.27879917311
httpcode_1d_403,0.0,float,1.1339,4.86316468876
httpcode_1d_500,0.0,float,1.0403,4.60246411284
body_bytes_sent,0.0,float,17384.7698,17479.2374767
upstream_response_time,0.0,float,0.932985191965,0.0584977267302
httpcode_total_200,0.0,float,141.5454,35.0364401565
httpcode_total_302,0.0,float,8.4782,8.44788285667
httpcode_total_404,0.0,float,9.2486,9.25938432295
httpcode_total_403,0.0,float,8.3936,8.12536024063
httpcode_total_500,0.0,float,8.5744,8.9445885674
request_time,0.0,float,0.933172391939,0.0584990746067
remote_addr,IP缺失,str,/,/
location_city,城市缺失,str,/,/
label,0,int,/,/
